Название поля,Тип,Формат,Описание
**STATUS**, , ,Начало документа
EXITEICID,М,Строка (14),Номер транзакции EDI Network
CUSTOMERICID,М,Строка (14),Номер документа поставщика
VERSION,O,Число десятичное,Версия заказа транспорта
FROM,М,Число (13),"GLN получателя сообщения (SENDER сообщения, по которому идет статус)"
TO,M,Число (13),"GLN отправителя сообщения (RECIPIENT сообщения, по которому идет статус)"
DELIVERYPLACE,M,Число (13),"GLN точки доставки (DELIVERYPLACE сообщения, по которому идет статус)"
DATE,O,Дата (ГГГГ-ММ-ДД),Дата поступления на платформу EDI Network
STATUS,М,Число (1),"Статус сообщения:
0 - доставлено на платформу EDI Network;
1 - сообщение прочитано получателем;
2 - ошибка обработки документа;
Для обратных статусов (от РС):
3 - документ получен сетью;
4 - ошибка обработки документа на стороне сети;
6 - отправляется АТБ на свой IFTMBF интегрировано (для IFTMBС)"
DESCRIPTION,O,Строка (70),Описание
DATEIN,М,Дата (ГГГГ-ММ-ДД),Дата поступления на платформу EDI Network
TIMEIN,М,Время (чч:мм:сс),Время поступления на платформу EDI Network
DATEOUT,О,Дата (ГГГГ-ММ-ДД),Дата прочтения документа получателем
TIMEOUT,О,Время (чч:мм:сс),Время прочтения документа получателем
SIZEINBYTES,М,Число положительное,Размер документа в байтах
MESSAGECLASS,М,Строка (6),"Класс сообщения: ORDER, ORDRSP, DESADV, RECADV, INVOICE, IFTMBF"
STATUSONFILENAME,М, ,"имя файла, на который получен статус"
**STATUS**, , ,Окончание документа
